Price,Close,High,Low,Open,Volume
Ticker,BTC-KRW,BTC-KRW,BTC-KRW,BTC-KRW,BTC-KRW
Date,,,,,
2015-08-07,325353.0625,326452.0,321886.25,324039.1875,49439561760
2015-08-08,303722.21875,325752.21875,303388.21875,325535.78125,68114852100
2015-08-09,308622.90625,310711.375,303106.59375,303860.6875,27697041800
2015-08-10,306285.34375,310512.84375,305315.125,309082.75,24296452934
2015-08-11,318579.59375,318579.59375,310600.9375,306137.125,29967238336
2015-08-12,312746.75,322398.625,311557.0625,318829.375,31483424832
2015-08-13,311046.625,311731.03125,309568.875,312520.15625,32609366175
2015-08-14,313058.71875,315168.5625,307610.5625,311107.875,31922373696
2015-08-15,308193.375,314221.71875,307892.90625,312880.78125,22766631763
2015-08-16,305025.3125,309240.9375,302879.09375,308564.5625,35064574150
2015-08-17,305061.78125,307969.03125,304295.40625,305005.25,25563599108
2015-08-18,250282.703125,305695.90625,250282.703125,305002.65625,49975199456
2015-08-19,267981.3125,281329.65625,263434.15625,267584.875,71958350856
2015-08-20,278510.84375,282730.21875,267650.0625,268235.46875,38193912250
2015-08-21,277885.0625,281758.375,276395.75,278516.75,27689214930
2015-08-22,275281.5,280738.375,266097.875,277996.1875,27727569615
2015-08-23,272890.125,278047.5625,269554.5625,275264.78125,22014293600
2015-08-24,250655.328125,272826.875,250549.21875,272821.9375,70519417353
2015-08-25,263867.625,269276.71875,238520.484375,250146.859375,72738299548
2015-08-26,266990.9375,274192.28125,261338.09375,264423.6875,37605326080
2015-08-27,263696.75,268001.625,262370.15625,267249.875,25699196226
2015-08-28,272785.8125,277422.0,259577.0,263616.96875,36941777642
2015-08-29,270880.75,274938.40625,267992.53125,272966.15625,20208778975
2015-08-30,269743.53125,273578.0,266715.78125,271016.3125,22890367290
2015-08-31,271958.40625,274079.1875,266927.59375,270159.78125,24482946898
2015-09-01,268792.6875,272927.375,266599.0625,272194.8125,24243552408
2015-09-02,271311.75,272943.21875,266810.21875,268681.9375,22199181320
2015-09-03,270397.75,272380.40625,269774.53125,271359.09375,20807426040
2015-09-04,276433.59375,277156.1875,270099.875,270435.84375,25161797592
2015-09-05,282100.34375,283449.53125,275407.3125,276314.78125,24812501562
2015-09-06,287867.96875,291574.5625,281694.65625,281921.5,30574808425
2015-09-07,288425.625,291202.6875,287397.40625,287980.78125,25484468188
2015-09-08,290827.78125,294118.75,289051.65625,288424.40625,32089464128
2015-09-09,283777.15625,291172.78125,282800.09375,290598.5625,28161936550
2015-09-10,281782.03125,286347.21875,281409.5,283977.34375,25068022645
2015-09-11,283732.03125,285782.875,281967.03125,281607.15625,22717635743
2015-09-12,277967.75,283752.125,277406.4375,283434.25,21226224794
2015-09-13,272303.8125,278802.03125,270845.6875,277983.125,21829006440
2015-09-14,272489.75,274732.46875,268786.53125,272418.40625,24807430854
2015-09-15,271288.90625,305401.9375,270741.8125,272310.15625,22590681288
2015-09-16,268013.5625,272868.375,267279.21875,271225.28125,23566699580
2015-09-17,267935.46875,269576.21875,268026.5625,267996.03125,22076782860
2015-09-18,273056.03125,272170.53125,270017.21875,272262.125,23724668088
2015-09-19,271319.0625,273325.59375,270845.5625,272918.90625,14899675704
2015-09-20,271126.125,272341.09375,270635.75,271208.875,16938288561
2015-09-21,267392.59375,270979.375,266678.625,271132.0,23171787000
2015-09-22,272964.0625,274580.3125,265163.0625,267256.0,29601507666
2015-09-23,274812.84375,275466.34375,273250.03125,273340.46875,20590525317
2015-09-24,279068.40625,280417.59375,274534.65625,274902.34375,29864123198
